llava-13b,medgemma-27b,qwen-7b
"{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': ""The candidate report is lacking significant details about the tumor's characteristics and has an incorrect diagnosis. It also fails to mention important findings such as ependymal contact and proximity to the ventricular system, which are crucial for clinical management."", 'sig_error_list': 'Wrong diagnosis (WHO CNS5 Grade III instead of Grade 4 glioblastoma); Missed finding (ependymal contact and proximity to the ventricular system); Hallucinated pathology (no mention of necrosis, proportion_necrosis, or heterogeneous appearance with high entropy values)'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some significant errors in terms of tumor location and radiomic features. However, it correctly identifies the lesion as a high-grade glioma and suggests further imaging, neurosurgical consultation, and oncological evaluation.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.; The candidate report does not mention the heterogeneous appearance with high entropy values, which is present in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': 'The AI-generated candidate report shows some significant errors in terms of tumor location and missing important findings. However, it still captures some key features correctly, such as the heterogeneous appearance and presence of necrosis.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left parietal lobe, whereas the reference report describes it as located in the right frontal lobe.; The candidate report does not mention the ependymal contact and proximity to the ventricular system, which is a significant finding in the reference report.; The candidate report does not provide an integrated diagnosis using the WHO CNS5 Framework, unlike the reference report.'}"
"{'green_score': 0.1667, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors in diagnosis and missing details, but also correctly identifies the presence of a tumor with necrosis.', 'sig_error_list': 'The candidate report incorrectly diagnoses the tumor as Grade III instead of Grade 4 glioblastoma.; The candidate report does not mention ependymal contact and ventricular proximity, which are present in the reference report.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated report contains a significant error regarding the tumor location, whereas it correctly identifies the lesion as a high-grade glioma. However, it lacks specific details and terminology used in the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is primarily located in the left frontal lobe.'}","{'green_score': 0.1429, 'hallucination_score': 0.8, 'matched_findings': 1, 'significant_errors': 4, 'insignificant_errors': 2, 'summary': 'The AI-generated report contains significant errors in diagnosis and missing information about radiomic features, ependymal contact, and ventricular proximity. However, it correctly identifies the location of the tumor and mentions necrosis, which are matched findings with the reference report.', 'sig_error_list': 'The candidate report incorrectly diagnoses the tumor as a WHO CNS5 Grade III Anaplastic Astrocytoma instead of the correct diagnosis of Grade 4 glioblastoma.; The candidate report does not mention ependymal contact or ventricular proximity, which are significant findings in the reference report.; The candidate report does not include any information about radiomic features or entropy values.; The candidate report recommends a biopsy to confirm the diagnosis and determine the specific histopathological subtype, whereas the reference report suggests that the diagnosis is already confirmed through imaging.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report lacks critical details about the tumor's size, location, and molecular subtype, making it less informative than the reference report. However, it correctly identifies the presence of enhancement, necrosis, and edema, which are key findings in the diagnosis of a high-grade glioma."", 'sig_error_list': 'The candidate report does not mention the size and location of the tumor, which is a significant finding in the reference report.; The candidate report does not provide specific molecular subtype information or WHO CNS5 Grade, unlike the reference report.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated radiology report contains a significant error regarding the location of the tumor, whereas the other findings and recommendations are generally consistent with the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.'}","{'green_score': 0.3333, 'hallucination_score': 0.6, 'matched_findings': 2, 'significant_errors': 3, 'insignificant_errors': 1, 'summary': ""The candidate report contains significant errors in terms of location, diagnosis, and missed findings. The reference report provides a more detailed and accurate description of the tumor's characteristics, including its location, size, and molecular subtype."", 'sig_error_list': 'Wrong location (left frontal lobe vs left temporal lobe); Wrong diagnosis (Grade 4 glioblastoma with IDH-wildtype molecular subtype vs WHO CNS5 Grade III/IV Anaplastic Astrocytoma/Glioblastoma); Missed finding (ependymal contact and proximity to the ventricular system)'}"
"{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': 'The AI-generated report contains several significant errors, including incorrect tumor location, diagnosis, and missing radiomic features. Additionally, it lacks specific details mentioned in the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report does not mention the heterogeneous enhancement and significant necrosis described in the reference report.; The candidate report incorrectly diagnoses the tumor as a Grade III glioma, whereas the reference report suggests a Grade 4 glioblastoma with an IDH-wildtype molecular subtype.; The candidate report fails to mention the peritumoral flair ratio and edema-to-tumor contrast ratio described in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report contains two significant errors: incorrect tumor location and missing details about the lesion's characteristics."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report does not mention the heterogeneous enhancement and significant necrosis, which are present in the reference report.'}","{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': ""The AI-generated candidate report contains significant errors regarding the tumor's location, diagnosis, and radiomic features. It also lacks important details present in the reference report."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left parietal lobe, whereas the reference report states it is located in the left frontal lobe.; The candidate report does not mention the heterogeneous enhancement and ependymal contact/proximity to the ventricular system present in the reference report.; The candidate report incorrectly diagnoses a Grade III or IV tumor, whereas the reference report concludes that the most likely diagnosis is a Grade 4 glioblastoma with an IDH-wildtype molecular subtype.; The candidate report does not mention the peritumoral flair ratio and edema-to-tumor contrast ratio present in the reference report.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report is incomplete and lacks critical information about the tumor's characteristics. It fails to provide a specific diagnosis and grading of the tumor, which are essential for clinical management and treatment planning."", 'sig_error_list': ""The candidate report does not mention the tumor's size, location, or heterogeneous enhancement.; The candidate report lacks a specific diagnosis and grading of the tumor.""}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report contains two significant errors: incorrect tumor location and missing details about the lesion's characteristics."", 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the right frontal lobe.; The candidate report does not mention the heterogeneous enhancement and significant necrosis, which are present in the reference report.'}","{'green_score': 0.1429, 'hallucination_score': 0.8, 'matched_findings': 1, 'significant_errors': 4, 'insignificant_errors': 2, 'summary': 'The AI-generated report shows significant errors in terms of lesion location, necrosis, diagnosis, and treatment recommendations. While it correctly identifies some findings, its inaccuracies render it unreliable for clinical decision-making.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left parietal lobe instead of the right frontal lobe.; The candidate report does not mention significant necrosis, which is a key feature in the reference report.; The candidate report does not provide an integrated diagnosis using the WHO CNS5 Framework.; The candidate report recommends biopsy for confirmation of diagnosis and grade, whereas the reference report suggests surgical resection may be challenging due to lesion size and location.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.3333, 'matched_findings': 2, 'significant_errors': 1, 'insignificant_errors': 3, 'summary': 'The AI-generated report shows some significant errors, including an incorrect tumor location. However, it also correctly identifies the presence of necrosis and cortical involvement. The report could benefit from more detailed descriptions of the radiomic features and a more accurate diagnosis.', 'sig_error_list': 'The candidate report incorrectly identifies the tumor location as the right temporal lobe, whereas the reference report specifies the frontal lobe.'}","{'green_score': 0.625, 'hallucination_score': 0.2857, 'matched_findings': 5, 'significant_errors': 2, 'insignificant_errors': 1, 'summary': 'The AI-generated radiology report shows some significant errors, including incorrect tumor location and missing information about necrosis. However, it also correctly identifies several key findings, such as the heterogeneous enhancement pattern and the presence of peritumoral edema. Overall, while the candidate report has some limitations, it provides a reasonable summary of the imaging findings and suggests appropriate next steps for further evaluation and treatment.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the frontal lobe.; The candidate report does not mention the presence of necrosis, which is a significant finding in the reference report.'}","{'green_score': 0.1667, 'hallucination_score': 0.75, 'matched_findings': 1, 'significant_errors': 3, 'insignificant_errors': 2, 'summary': 'The AI-generated candidate report contains significant errors regarding the tumor location, size, and characteristics, as well as its recommended treatment plan. While it correctly identifies the presence of necrosis, the overall accuracy is compromised by these significant errors.', 'sig_error_list': ""The candidate report incorrectly locates the tumor in the left temporal lobe, whereas the reference report indicates it's located in the frontal lobe.; The candidate report describes a large, irregularly shaped mass with necrosis and edema, which is not consistent with the reference report's description of a right-sided, unifocal glioblastoma with minimal necrosis.; The candidate report recommends immediate surgical resection without considering the tumor's size and location, whereas the reference report suggests careful planning to avoid eloquent cortex risks.""}"
"{'green_score': 0.2222, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 3, 'summary': 'The AI-generated report is incomplete and inaccurate, failing to capture significant findings such as tumor volume, necrosis, and grading. Additionally, it lacks important clinical management recommendations.', 'sig_error_list': ""The candidate report does not mention the tumor's volume, which is a significant finding in the reference report.; The candidate report incorrectly diagnoses the tumor as Grade III, whereas the reference report suggests a diagnosis of WHO Grade 4 Glioblastoma, IDH-wildtype.; The candidate report does not mention the presence of necrosis, which is a crucial finding in the reference report that supports the diagnosis of Grade 4 glioblastoma.; The candidate report does not provide any information about surgical oncology or radiation/medical oncology management, whereas the reference report provides detailed recommendations.""}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated report contains a significant error in terms of tumor location, which could impact clinical decision-making. Additionally, there are some minor errors related to formatting and terminology differences between the two reports.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, extending towards the parietal lobe, whereas the reference report indicates a left frontal lobe location.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains significant errors in terms of tumor location and diagnosis. It also lacks critical information present in the reference report, such as the presence of necrosis and proximity to the ventricular system.', 'sig_error_list': 'The candidate report incorrectly locates the enhancing tumor in the left parietal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report suggests a low-grade glioma diagnosis (WHO CNS5 Grade I or II), which is clinically meaningful and incorrect, as the reference report diagnoses a WHO Grade 4 Glioblastoma, IDH-wildtype.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report shows some significant errors, including an incorrect diagnosis of a Grade III tumor instead of a Grade 4 glioblastoma. Additionally, it fails to mention important findings such as ependymal contact and proximity to the ventricular system present in the reference report.', 'sig_error_list': 'The candidate report incorrectly diagnoses a Grade III tumor, whereas the reference report suggests a Grade 4 glioblastoma.; The candidate report does not mention the ependymal contact and proximity to the ventricular system, which is present in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated report contains two significant errors: incorrect tumor location and missing information about ependymal contact.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.; The candidate report does not mention the presence of ependymal contact and proximity to the ventricular system, which is a significant finding in the reference report.'}","{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': 'The AI-generated candidate report contains significant errors in tumor location and diagnosis, which may impact clinical decision-making. While the report does mention some relevant imaging features, it lacks the level of detail and specificity provided by the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the left temporal lobe, whereas the reference report indicates it is in the left frontal lobe.; The candidate report misclassifies the tumor as a WHO CNS5 Grade III (Anaplastic Astrocytoma), whereas the reference report suggests a more aggressive diagnosis of Grade 4 glioblastoma with IDH-wildtype molecular subtype.'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report lacks specific details about the tumor's size and location, which are important findings. Additionally, it does not provide a precise WHO CNS5 Grade, instead suggesting that the presence of an enhancing tumor could indicate a higher-grade tumor. Overall, the candidate report is incomplete and requires further clarification to match the level of detail in the reference report."", 'sig_error_list': ""The candidate report does not mention the tumor's size or location, which are significant findings in the reference report.; The candidate report suggests that the enhancing tumor is actively growing and likely to be more aggressive, but this is not explicitly stated in the reference report.""}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated report contains a significant error regarding the location of the tumor, whereas the other findings are minor errors related to wording and formatting.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe, whereas the reference report indicates it is located in the left frontal lobe.'}","{'green_score': 0.2857, 'hallucination_score': 0.6667, 'matched_findings': 2, 'significant_errors': 4, 'insignificant_errors': 1, 'summary': ""The AI-generated report contains significant errors regarding the tumor's location, diagnosis, and characteristics. Additionally, it lacks critical information about the ependymal contact and ventricular proximity, which are important for surgical planning."", 'sig_error_list': 'Wrong location (left frontal lobe in reference vs left temporal lobe in candidate); Wrong diagnosis (Grade 4 glioblastoma with IDH-wildtype molecular subtype in reference vs WHO CNS5 Grade in candidate); Wrong tumor characteristics (ring-enhancing pattern with significant necrosis in reference vs heterogeneous mass with peritumoral edema in candidate); Hallucinated pathology (no mention of ependymal contact and ventricular proximity in candidate)'}"
"{'green_score': 0.3333, 'hallucination_score': 0.6667, 'matched_findings': 1, 'significant_errors': 2, 'insignificant_errors': 0, 'summary': ""The AI-generated report is generally accurate but lacks critical details about the tumor's size and location. Additionally, it fails to provide a specific grade for the glioma, which may impact clinical management decisions."", 'sig_error_list': ""The candidate report does not mention the tumor's size, location, and sphericity index as described in the reference report.; The candidate report does not provide a specific grade for the glioma, whereas the reference report suggests a Grade 4 glioblastoma.""}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 1, 'insignificant_errors': 2, 'summary': 'The AI-generated report contains a significant error regarding the tumor location, while also lacking some details present in the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the tumor in the right temporal lobe instead of the right frontal lobe.'}","{'green_score': 0.0, 'hallucination_score': 1.0, 'matched_findings': 0, 'significant_errors': 4, 'insignificant_errors': 2, 'summary': 'The AI-generated candidate report contains significant errors regarding lesion location, morphology, and diagnosis. It also lacks important radiomic features and clinical recommendations compared to the reference report.', 'sig_error_list': 'The candidate report incorrectly locates the lesion in the left temporal lobe instead of the right frontal lobe.; The candidate report describes a heterogeneous lesion, whereas the reference report describes a solid-enhancing tumor.; The candidate report does not mention necrosis or its proportion, which is present in the reference report.; The candidate report suggests a WHO CNS5 Grade III diagnosis, whereas the reference report suggests a Grade 4 glioblastoma.'}"
